  0:	proc  - (:root:) creates proc  0 (Sender)
  0:	proc  - (:root:) creates proc  1 (Receiver)
		queue 1 (to_rcvr): 

 47:	proc  1 (Receiver:1) AltBit.pml:20 (state -)	[values: 2!ACK0]
 47:	proc  1 (Receiver:1) AltBit.pml:20 (state 4)	[to_sndr!ACK0]
		queue 2 (to_sndr): [ACK0]

 48:	proc  0 (Sender:1) AltBit.pml:11 (state -)	[values: 2?ACK0]
 48:	proc  0 (Sender:1) AltBit.pml:11 (state 4)	[to_sndr?ACK0]
		queue 2 (to_sndr): 

 49:	proc  1 (Receiver:1) AltBit.pml:21 (state 5)	[goto again]

 50:	proc  0 (Sender:1) AltBit.pml:12 (state 5)	[goto again]
		queue 1 (to_rcvr): 

 51:	proc  0 (Sender:1) AltBit.pml:8 (state -)	[values: 1!MSG1]
 51:	proc  0 (Sender:1) AltBit.pml:8 (state 1)	[to_rcvr!MSG1]
		queue 1 (to_rcvr): [MSG1]

 52:	proc  1 (Receiver:1) AltBit.pml:17 (state -)	[values: 1?MSG1]
 52:	proc  1 (Receiver:1) AltBit.pml:17 (state 1)	[to_rcvr?MSG1]
		queue 2 (to_sndr): 
		queue 1 (to_rcvr): 

 53:	proc  1 (Receiver:1) AltBit.pml:18 (state -)	[values: 2!ACK1]
 53:	proc  1 (Receiver:1) AltBit.pml:18 (state 2)	[to_sndr!ACK1]
		queue 2 (to_sndr): [ACK1]

 54:	proc  0 (Sender:1) AltBit.pml:9 (state -)	[values: 2?ACK1]
 54:	proc  0 (Sender:1) AltBit.pml:9 (state 2)	[to_sndr?ACK1]
		queue 2 (to_sndr): 

 55:	proc  0 (Sender:1) AltBit.pml:10 (state -)	[values: 1!MSG0]
 55:	proc  0 (Sender:1) AltBit.pml:10 (state 3)	[to_rcvr!MSG0]
		queue 1 (to_rcvr): [MSG0]

 56:	proc  1 (Receiver:1) AltBit.pml:19 (state -)	[values: 1?MSG0]
 56:	proc  1 (Receiver:1) AltBit.pml:19 (state 3)	[to_rcvr?MSG0]
		queue 1 (to_rcvr): 

 57:	proc  1 (Receiver:1) AltBit.pml:20 (state -)	[values: 2!ACK0]
